"number", "1", "1_1", "1_2"
1, 0, 0, 0
2, 0.007333333333333333, 0, 0
3, 0.01457599736234751, 0, 0
4, 0.021359299418852635, 0.0043429628531146125, 0.0002524249623429642
5, 0.028061281388768414, 0.00869832950894098, 0.0005098336076016974
6, 0.034684464153137515, 0.01306587203719543, 0.0007722019474866967
7, 0.04123124085907827, 0.017445367387716876, 0.0010395068338838014
8, 0.04770388582906315, 0.021836597175374887, 0.001311725914602332
9, 0.054104562685666165, 0.026239347479880364, 0.0015888375921703033
10, 0.06043533177467269, 0.030653408659199667, 0.0018708209854117613
11, 0.0666981569592817, 0.03507857517540798, 0.002157655893568869
12, 0.07289491184937891, 0.03951464543193604, 0.002449322762755643
13, 0.07902738552230192, 0.04396142162126899, 0.002745802654551617
14, 0.0850972877849726, 0.04841870958224849, 0.0030470772165626233
15, 0.09110625402158873, 0.05288631866621113, 0.0033531286547925825
16, 0.09705584966611693, 0.057364061611268904, 0.003663939707685097
17, 0.10294757433450968, 0.061851754424102276, 0.003979493621706811
18, 0.10878286564778891, 0.06634921626869403, 0.0042997741283562945
19, 0.11456310277382277, 0.07085626936148373, 0.004624765422492746
20, 0.12028960971270845, 0.07537273887246887, 0.004954452141888181
21, 0.1259636583481056, 0.07989845283182008, 0.005288819347915256
22, 0.1315864712845982, 0.08443324204161515, 0.0056278525072904284
23, 0.1371592244891572, 0.08897693999233004, 0.005971537474798983
24, 0.14268304975299864, 0.09352938278375542, 0.006319860476934598
25, 0.1481590369885527, 0.09809040905003426, 0.006672808096391687
26, 0.15358823637485494, 0.1026598598885413, 0.007030367257353741
27, 0.15897166036341798, 0.10723757879234685, 0.007392525211525462
28, 0.1643102855555243, 0.11182341158602827, 0.0077592695248605995
29, 0.16960505446088012, 0.11641720636461064, 0.008130588064941116
30, 0.17485687714667458, 0.12101881343543512, 0.008506468988966742
31, 0.18006663278528462, 0.12562808526276845, 0.008886900732317068
32, 0.18523517110814203, 0.13024487641498145, 0.009271871997651147
33, 0.19036331377263052, 0.13486904351413684, 0.009661371744512134
34, 0.19545185564829243, 0.1395004451878383, 0.010055389179406928
35, 0.20050156602809655, 0.1441389420232037, 0.010453913746332831
36, 0.20551318977003988, 0.14878439652283496, 0.010856935117725314
37, 0.21048744837392244, 0.15343667306266592, 0.011264443185802737
38, 0.21542504099774248, 0.15809563785157832, 0.011676428054285568
39, 0.22032664541780256, 0.16276115889268283, 0.012092880030469166
